country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,interm,1,93,398.17,1.2,10.64,18.93,18.58,35.12,33.26,57.74,29.89,27.61,25.45,44.57,23.07,24.89,8.85,8.41,8.88,8.34,6.43,6.33,.,.,.,.,.,.
LTU,1956,1,interm,1,94,58,0.05,0.71,1.57,1.57,3.07,4.78,8.58,4.11,3.79,3.69,6.46,3.17,3.42,2.44,2.32,2.45,2.3,1.77,1.75,.,.,.,.,.,.
LTU,1956,1,interm,1,95,239.53,0,28.49,11.93,12.87,27.58,36.1,22.08,16.19,14.95,7.62,13.34,9.68,10.44,5.29,5.03,5.31,4.99,3.85,3.79,.,.,.,.,.,.
LTU,1956,1,interm,1,96,36.39,0.69,3.09,1.14,0.73,2.37,2.38,2.26,2.94,2.71,2.25,3.93,3.14,3.39,1,0.95,1.01,0.95,0.73,0.72,.,.,.,.,.,.
LTU,1956,1,interm,1,97,123.1,0.29,1.27,0.47,0.3,0.85,10.39,9.43,12.96,11.97,10.04,17.57,14.27,15.39,3.35,3.19,3.37,3.16,2.44,2.4,.,.,.,.,.,.
LTU,1956,1,interm,1,98,67.26,1.33,5.9,2.18,1.4,4.25,4.52,4.36,5.56,5.13,4.24,7.42,5.9,6.36,1.63,1.55,1.64,1.54,1.19,1.17,.,.,.,.,.,.
LTU,1956,1,interm,1,99,69.18,1.75,7.41,4.44,3.69,8.69,5.19,6.05,4.12,3.8,3.35,5.86,4.08,4.36,1.19,1.13,1.2,1.12,0.87,0.85,.,.,.,.,.,.
LTU,1956,1,interm,1,100,228.55,0,0,0.82,2.75,13.12,22.86,14.99,22.12,20.43,20.03,35.06,15.82,17.07,8.15,7.74,8.18,7.68,5.92,5.83,.,.,.,.,.,.
LTU,1956,1,interm,1,101,78.66,3.08,0,1.57,1.59,2.5,13.9,17.13,8.15,7.53,2.79,4.89,4.69,5.06,1.09,1.03,1.09,1.02,0.79,0.78,.,.,.,.,.,.
LTU,1956,1,interm,1,102,24.43,0.95,1.18,1.32,1.43,2.63,2.29,2.37,1.36,1.26,1.15,2.02,1.49,1.6,0.63,0.6,0.64,0.6,0.46,0.45,.,.,.,.,.,.
