country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
BLR,1979,1,belarus,1,9,0,0,0,0,0,2,8,25,77,102,143,159,242,305,338,467,471,404,386,.,.,.,.,.,.
BLR,1979,1,belarus,1,10,0,0,0,0,0,0,3,11,34,48,67,76,115,148,165,218,211,169,193,.,.,.,.,.,.
BLR,1979,1,belarus,1,11,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,13,0,0,0,0,0,0,0,4,4,12,0,4,6,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,14,0,0,0,0,0,0,0,0,0,0,3,4,6,10,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,17,0,0,0,0,0,0,0,4,4,6,10,11,18,20,25,31,32,34,48,.,.,.,.,.,.
BLR,1979,1,belarus,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,28,160,18,6,0,0,0,0,4,8,3,0,11,0,20,8,10,32,34,48,.,.,.,.,.,.
BLR,1979,1,belarus,1,29,895,18,3,8,4,2,11,14,11,12,10,14,18,30,16,0,16,0,48,.,.,.,.,.,.
BLR,1979,1,belarus,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,31,240,7,0,0,0,0,0,0,0,3,3,0,0,10,8,0,16,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,39,13,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,42,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
